id,constraint1,constraint2,constraint3,constraint4,constraint5,probability,id_word
2686226,2,1,1,2,2,0,11286
2686227,2,1,1,2,1,0,11286
2686228,2,1,1,1,3,0,11286
2686229,2,1,1,1,2,0,11286
2686230,1,3,3,3,3,0,11286
2686231,1,3,3,3,2,0.003391921054571867,11286
2686232,1,3,3,3,1,0,11286
2686233,1,3,3,2,3,0,11286
2686234,1,3,3,2,2,0,11286
2686235,1,3,3,2,1,0,11286
2686236,1,3,3,1,3,0,11286
2686237,1,3,3,1,2,0,11286
2686238,1,3,3,1,1,0,11286
2686239,1,3,2,3,3,0,11286
2686240,1,3,2,3,2,0,11286
2686241,1,3,2,3,1,0,11286
2686242,1,3,2,2,3,0,11286
2686243,1,3,2,2,2,0,11286
2686244,1,3,2,2,1,0,11286
2686245,1,3,2,1,3,0,11286
2686246,1,3,2,1,2,0,11286
2686247,1,3,2,1,1,0,11286
2686248,1,3,1,3,3,0,11286
2686249,1,3,1,3,2,0,11286
2686250,1,3,1,3,1,0,11286
2686251,1,3,1,2,3,0,11286
2686252,1,3,1,2,2,0,11286
2686253,1,3,1,2,1,0,11286
2686254,1,3,1,1,3,0,11286
2686255,1,3,1,1,2,0,11286
2686256,1,3,1,1,1,0,11286
2686257,1,2,3,3,3,0,11286
2686258,1,2,3,3,2,0,11286
2686259,1,2,3,3,1,0,11286
2686260,1,2,3,2,3,0,11286
2686261,1,2,3,2,2,0.002081406069919467,11286
2686262,1,2,3,2,1,0,11286
2686263,1,2,3,1,3,0,11286
2686264,1,2,3,1,2,0.00015417822578456253,11286
2686265,1,2,3,1,1,0,11286
2686266,1,2,2,3,3,0,11286
2686267,1,2,2,3,2,0,11286
2686268,1,2,2,3,1,0,11286
2686269,1,2,2,2,3,0,11286
2686270,1,2,2,2,2,0,11286
2686271,1,2,2,2,1,0,11286
2686272,1,2,2,1,3,0,11286
2686273,1,2,2,1,2,0,11286
2686274,1,2,2,1,1,0,11286
2686275,1,2,1,3,3,0,11286
2686276,1,2,1,3,2,0,11286
2686277,1,2,1,3,1,0,11286
2686278,1,2,1,2,3,0,11286
2686279,1,2,1,2,2,0,11286
2686280,1,2,1,2,1,0,11286
2686281,1,2,1,1,3,0,11286
2686282,1,2,1,1,2,0,11286
2686283,1,1,3,3,3,0,11286
2686284,1,1,3,3,2,0,11286
2686285,1,1,3,3,1,0,11286
2686286,1,1,3,2,3,0,11286
2686287,1,1,3,2,2,0.0002312673459528014,11286
2686288,1,1,3,2,1,0,11286
2686289,1,1,3,1,3,0,11286
2686290,1,1,3,1,2,0.00007708911289228126,11286
2686291,1,1,3,1,1,0,11286
2686292,1,1,2,3,3,0,11286
2686293,1,1,2,3,2,0,11286
2686294,1,1,2,3,1,0,11286
2686295,1,1,2,2,3,0,11286
2686296,1,1,2,2,2,0,11286
2686297,1,1,2,2,1,0,11286
2686298,1,1,2,1,3,0,11286
2686299,1,1,2,1,2,0,11286
2686300,1,1,1,3,3,0,11286
2686301,1,1,1,3,2,0,11286
2686302,1,1,1,3,1,0,11286
2686303,1,1,1,2,3,0,11286
2686304,1,1,1,2,2,0,11286
2686305,1,1,1,1,3,0,11286
2686306,1,1,1,1,1,0.00007708911289228126,11286
